name,city,lockdown_regulation
Sumida,Oshiage,0.5
Sumida,Kinshicho,0.5
Taito,Ueno,0.5
Bunkyo,Kasuga,0.5
Chiyoda,Akihabara,0.5
Chiyoda,Kanda,0.5
Chiyoda,Tokyo,0.5
Chiyoda,Ochanomizu,0.5
Chiyoda,Otemachi,0.5
Chiyoda,Kasumigaseki,0.5
Chiyoda,Kudanshita,0.5
Chiyoda,Kojimachi,0.5
Chiyoda,Iidabashi,0.5
Chuo,Nihonbashi,0.5
Chuo,Ginza,0.5
Minato,Shinbashi,0.5
Minato,Hamamatsucho,0.5
Minato,Tamachi,0.5
Minato,Shinagawa,0.5
Minato,Akasaka,0.5
Minato,Roppongi,0.5
Minato,Aoyama,0.5
Minato,Omotesando,0.5
Shinjuku,Yotsuya,0.5
Shinjuku,Shinjuku,0.5
Toshima,Ikebukuro,0.5
Shibuya,Harajuku,0.5
Shibuya,Shibuya,0.5
Shibuya,Ebisu,0.5
Shinagawa,Osaki,0.5
