name,city,lockdown_regulation
Sumida,Oshiage,0.3
Sumida,Kinshicho,0.3
Taito,Ueno,0.3
Bunkyo,Kasuga,0.3
Chiyoda,Akihabara,0.3
Chiyoda,Kanda,0.3
Chiyoda,Tokyo,0.3
Chiyoda,Ochanomizu,0.3
Chiyoda,Otemachi,0.3
Chiyoda,Kasumigaseki,0.3
Chiyoda,Kudanshita,0.3
Chiyoda,Kojimachi,0.3
Chiyoda,Iidabashi,0.3
Chuo,Nihonbashi,0.3
Chuo,Ginza,0.3
Minato,Shinbashi,0.3
Minato,Hamamatsucho,0.3
Minato,Tamachi,0.3
Minato,Shinagawa,0.3
Minato,Akasaka,0.3
Minato,Roppongi,0.3
Minato,Aoyama,0.3
Minato,Omotesando,0.3
Shinjuku,Yotsuya,0.3
Shinjuku,Shinjuku,0.3
Toshima,Ikebukuro,0.3
Shibuya,Harajuku,0.3
Shibuya,Shibuya,0.3
Shibuya,Ebisu,0.3
Shinagawa,Osaki,0.3
