name,city,lockdown_regulation
Sumida,Oshiage,0.01
Sumida,Kinshicho,0.01
Taito,Ueno,0.01
Bunkyo,Kasuga,0.01
Chiyoda,Akihabara,0.01
Chiyoda,Kanda,0.01
Chiyoda,Tokyo,0.01
Chiyoda,Ochanomizu,0.01
Chiyoda,Otemachi,0.01
Chiyoda,Kasumigaseki,0.01
Chiyoda,Kudanshita,0.01
Chiyoda,Kojimachi,0.01
Chiyoda,Iidabashi,0.01
Chuo,Nihonbashi,0.01
Chuo,Ginza,0.01
Minato,Shinbashi,0.01
Minato,Hamamatsucho,0.01
Minato,Tamachi,0.01
Minato,Shinagawa,0.01
Minato,Akasaka,0.01
Minato,Roppongi,0.01
Minato,Aoyama,0.01
Minato,Omotesando,0.01
Shinjuku,Yotsuya,0.01
Shinjuku,Shinjuku,0.01
Toshima,Ikebukuro,0.01
Shibuya,Harajuku,0.01
Shibuya,Shibuya,0.01
Shibuya,Ebisu,0.01
Shinagawa,Osaki,0.01
