name,city,lockdown_regulation
Sumida,Oshiage,0.1
Sumida,Kinshicho,0.1
Taito,Ueno,0.1
Bunkyo,Kasuga,0.1
Chiyoda,Akihabara,0.1
Chiyoda,Kanda,0.1
Chiyoda,Tokyo,0.1
Chiyoda,Ochanomizu,0.1
Chiyoda,Otemachi,0.1
Chiyoda,Kasumigaseki,0.1
Chiyoda,Kudanshita,0.1
Chiyoda,Kojimachi,0.1
Chiyoda,Iidabashi,0.1
Chuo,Nihonbashi,0.1
Chuo,Ginza,0.1
Minato,Shinbashi,0.1
Minato,Hamamatsucho,0.1
Minato,Tamachi,0.1
Minato,Shinagawa,0.1
Minato,Akasaka,0.1
Minato,Roppongi,0.1
Minato,Aoyama,0.1
Minato,Omotesando,0.1
Shinjuku,Yotsuya,0.1
Shinjuku,Shinjuku,0.1
Toshima,Ikebukuro,0.1
Shibuya,Harajuku,0.1
Shibuya,Shibuya,0.1
Shibuya,Ebisu,0.1
Shinagawa,Osaki,0.1
